isolate,length,width
1223,6,1.5
1223,4.5,1.5
1223,5,1.5
1223,5.5,1.5
1223,5.5,1.5
1223,6,1.5
1223,5,2
1223,5,1.5
1223,4.5,2
1223,5,1.5
1223,5,1.5
1223,4.5,1.5
1223,5,1.5
1223,5,1.5
1223,4.5,1.5
1223,5,1.5
1223,5,1.5
1223,4.5,1.5
1223,5,1.5
1223,4.5,2
1223,4.5,1.5
1223,5,1.5
1223,5,1.5
1223,4.5,1.5
1223,4.5,1.5
1223,5.5,1.5
1223,5.5,2
1223,5,1.5
1223,4.5,2
1223,5,1.5
1223,5,1.5
1223,5,1.5
1223,5,1.5
1223,4,2
1223,5,1.5
1223,5.5,1.5
1223,4.5,1.5
1223,5.5,1.5
1223,4,1.5
1223,4.5,1.5
1223,5,1.5
1223,4.5,2
1223,4.5,1.5
1223,5.5,1.5
1223,4.5,1.5
1223,4.5,1.5
1223,4.5,1.5
1223,5.5,1.5
1223,5,2
1223,5,1.5
1223,5,1.5
1223,5,1.5
1223,4.5,1.5
1223,4.5,1.5
1223,5,1.5
1223,5,1.5
1223,4.5,1.5
1223,4.5,1.5
1223,4.5,1.5
1223,5,1.5
1233,5,1.5
1233,5,1.5
1233,5.5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,4.5,1.5
1233,5,1.5
1233,5.5,1.5
1233,5,1.5
1233,5.5,1.5
1233,5.5,1.5
1233,5.5,1.5
1233,5,1.5
1233,4.5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,4.5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,4.5,1.5
1233,5.5,1.5
1233,5.5,1.5
1233,5.5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,5.5,1.5
1233,4.5,2
1233,5,1.5
1233,5,1
1233,5,1.5
1233,4.5,1.5
1233,4.5,1.5
1233,5,1.5
1233,4.5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,4.5,1.5
1233,4.5,1.5
1233,4.5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,5.5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,5,1.5
1233,4.5,1.5
1233,5,1.5
1233,4.5,1.5
1233,5,1.5
1233,5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,5.5,1.5
1234,5.5,1.5
1234,5,1.5
1234,4.5,1.5
1234,4.5,1.5
1234,4.5,1.5
1234,5,1.5
1234,5,1.5
1234,4.5,1.5
1234,5.5,1.5
1234,4.5,1.5
1234,5,1.5
1234,5.5,1.5
1234,6,1.5
1234,4.5,1.5
1234,4.5,1.5
1234,5.5,1.5
1234,5,1.5
1234,5,1.5
1234,4.5,1.5
1234,5,1.5
1234,4.5,1.5
1234,4.5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,4.5,1.5
1234,5.5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,5.5,1.5
1234,4.5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,5.5,1.5
1234,5,1.5
1234,5,1.5
1234,4.5,1.5
1234,4.5,1.5
1234,5,1.5
1234,5,1.5
1234,4.5,1.5
1234,4.5,1.5
1234,4.5,1.5
1234,5.5,1.5
1234,5.5,1.5
1234,5,1.5
1234,5,1.5
1234,5,1.5
1234,5,2
1234,5,2
1234,4.5,1
,4,1
,6,2
,,1.525
